alpha	lambda	data.name	mse_1	rsq_1	parameter.df_1	estimate.cor_1	p.value_1	mse_2	rsq_2	parameter.df_2	estimate.cor_2	p.value_2	mse_3	rsq_3	parameter.df_3	estimate.cor_3	p.value_3	mse_4	rsq_4	parameter.df_4	estimate.cor_4	p.value_4	mse_5	rsq_5	parameter.df_5	estimate.cor_5	p.value_5	mse_6	rsq_6	parameter.df_6	estimate.cor_6	p.value_6	mse_7	rsq_7	parameter.df_7	estimate.cor_7	p.value_7	mse_8	rsq_8	parameter.df_8	estimate.cor_8	p.value_8	mse_9	rsq_9	parameter.df_9	estimate.cor_9	p.value_9	mse_10	rsq_10	parameter.df_10	estimate.cor_10	p.value_10
0	16	ENSG00000006747.10	0.114967915320079	-0.111407537612343	12	-0.181882169789508	0.733133405057072	0.180432898180306	-0.150232710162331	12	0.0393252785464854	0.446909558290666	0.18919604945367	-0.155744212566454	11	0.417514196922526	0.0778746378991954	0.250908539038627	-0.0733460016470096	12	-0.222875028472337	0.7781272336663	0.304008351858848	-0.013510713833836	11	0.402200939622645	0.0865328946197926	0.198596343076399	-0.114643196305783	12	0.489879860738448	0.0376889272150609	0.354849143199939	-0.223301570293319	11	0.15092932363962	0.311293661264088	0.189158093954212	-0.110454115216042	12	-0.0605583934081319	0.581467933791669	0.101315498236265	-0.0671791415067276	11	-0.0325529859955415	0.542038795431392	0.169672587802548	0.00124847986125698	12	0.244133670887117	0.200135540820732
0	13.7159037256492	ENSG00000006747.10	0.11501451621758	-0.11185803363637	12	-0.181902323088815	0.733156459327844	0.180427127100094	-0.150195920390064	12	0.0392843803778783	0.446964488328569	0.189111890371203	-0.155230108953945	11	0.417334614484124	0.0779727784022488	0.251013586026039	-0.0737953756075565	12	-0.222814390428445	0.77806361214637	0.303921540746892	-0.0132213007584745	11	0.402370513365683	0.0864337900264661	0.198515040548179	-0.114186877178662	12	0.489965389130033	0.0376595796239943	0.35477318229171	-0.223039703806962	11	0.150941746618297	0.31127917562128	0.18913912697235	-0.110342769396147	12	-0.0606465469921315	0.581585076021507	0.101317527680193	-0.0672005181003141	11	-0.0324151844829788	0.541861400910812	0.169637383078309	0.00145570704099895	12	0.243711167648419	0.200556356175134
0	11.7578759382048	ENSG00000006747.10	0.115068713999657	-0.112381969582801	12	-0.181925805393288	0.733183320695663	0.180420605326449	-0.150154345059569	12	0.0392373868185161	0.447027606133498	0.189014595205237	-0.154635760788107	11	0.417125767474948	0.078087012639919	0.251135650745705	-0.074317548664314	12	-0.222743531856808	0.777989255773572	0.303821067349116	-0.0128863400099348	11	0.402568269303392	0.0863183064973838	0.198420964799708	-0.113658866988008	12	0.490064915112609	0.0376254493684326	0.354685351894025	-0.22273691862214	11	0.15095603711589	0.311262512693218	0.189117390729704	-0.110215166608493	12	-0.0607492323197797	0.581721520724177	0.10132005878649	-0.0672271788174912	11	-0.0322542485121864	0.54165421592453	0.169596879944226	0.00169412249313061	12	0.243218979434603	0.201047159312046
0	10.079368399159	ENSG00000006747.10	0.115131716514608	-0.112991021854558	12	-0.181953193019114	0.733214647854621	0.18041327832177	-0.150107636501789	12	0.0391826037127632	0.447101187674765	0.188902281242528	-0.153949667115615	11	0.416881374617521	0.0782208273429919	0.251277378679451	-0.0749238377590986	12	-0.222661136769197	0.777902777877161	0.303704933077286	-0.0124991686443352	11	0.402798504070149	0.0861839806574423	0.198312254641575	-0.113048719609384	12	0.490180125471238	0.0375859678496697	0.354583944560387	-0.22238732851362	11	0.150972695735459	0.311243088918375	0.189092555182843	-0.110069369330466	12	-0.0608687589048081	0.581880332745426	0.101323226651793	-0.0672605466618361	11	-0.0320659064951703	0.541411736770885	0.16955038911827	0.0019677835700217	12	0.242646009907102	0.201619303522708
0	8.64047791113845	ENSG00000006747.10	0.115204896371433	-0.113698459614476	12	-0.181984938317431	0.73325095748881	0.180405098772965	-0.150055493102863	12	0.0391206712747912	0.447184373695994	0.188772848048435	-0.153158996985774	11	0.416595256524674	0.0783776770692074	0.251441813931511	-0.0756272650756988	12	-0.22256521480843	0.77780208179883	0.303570893214188	-0.0120523031667898	11	0.403066464435579	0.0860278130072675	0.198186822203566	-0.112344716648114	12	0.490313317073648	0.0375403608882495	0.35446705496748	-0.22198436509862	11	0.150992111943653	0.311220450392045	0.189064276452118	-0.10990335881381	12	-0.0610078382449688	0.582065109430383	0.101327206504602	-0.0673024673549036	11	-0.0318475684048319	0.541130622947698	0.169497167608613	0.00228106377846293	12	0.241979233661668	0.202286184150476
0	7.40699769829832	ENSG00000006747.10	0.115289837536718	-0.114519595242527	12	-0.18202180042475	0.733293116904123	0.180396050193978	-0.149997809766639	12	0.0390469168745329	0.447283441298992	0.188623975392908	-0.152249576781007	11	0.416260120606331	0.0785616574084288	0.251632418985407	-0.076442642556583	12	-0.222453583060428	0.777684865563345	0.30341644756064	-0.0115374083501882	11	0.40337821347196	0.085846353225032	0.198042345185174	-0.111533823944461	12	0.490467059083886	0.0374877658642741	0.354332576132657	-0.221520764797019	11	0.151014737917489	0.31119407017785	0.189032203790105	-0.109715075992949	12	-0.0611697792526868	0.582280239617486	0.101332218769094	-0.0673552626745795	11	-0.0315935475228497	0.540803544797825	0.16943642062526	0.00263864152719417	12	0.241202785379001	0.203064195456244
0	6.3496042078728	ENSG00000006747.10	0.115388340374376	-0.115471833055521	12	-0.182064571682829	0.733342030984229	0.180386137210538	-0.149934615981456	12	0.0389610937640243	0.4473987233036	0.188453085928306	-0.151205662226386	11	0.415873478539467	0.0787742605861299	0.251853120511806	-0.0773867678614648	12	-0.222323720000345	0.777548467438117	0.303238792227675	-0.0109451365187456	11	0.403742210532581	0.0856347916073932	0.197876224758518	-0.110601455299243	12	0.490646324671326	0.0374265051555855	0.354178180899068	-0.220988505003486	11	0.151040132069227	0.311164463461418	0.188996005710616	-0.109502574875547	12	-0.0613579003164308	0.582530121784648	0.101338543901213	-0.0674218867269913	11	-0.0312981421290531	0.540423150080957	0.16936735088433	0.00304520990481194	12	0.240300646095412	0.2039700955546
0	5.44316000069751	ENSG00000006747.10	0.115502446138443	-0.116574906081733	12	-0.182114155668108	0.73339873130696	0.18037541098203	-0.149866237880725	12	0.0388612688706401	0.447532818077507	0.188257497002888	-0.150010865774522	11	0.415414981480814	0.0790268572936445	0.252108347980117	-0.0784785895414786	12	-0.222172717944767	0.777389814445877	0.30303496558137	-0.010265614102561	11	0.40416410871406	0.0853899948005775	0.197685717991644	-0.109532215713777	12	0.490850734464851	0.0373567384212154	0.354001402109409	-0.220379080477235	11	0.151070509271228	0.311129048444322	0.18895537408376	-0.109264046582589	12	-0.0615764832991018	0.58282043030618	0.101346535474776	-0.0675060637854139	11	-0.0309547856704297	0.539980968787141	0.169289139832978	0.00350558719640359	12	0.239252247952129	0.20502548541949
0	4.66611615830447	ENSG00000006747.10	0.115634455466841	-0.117851054842093	12	-0.182171578723154	0.733464389152271	0.180363982880359	-0.149793385443673	12	0.0387452145658076	0.447688720367368	0.188034260664015	-0.148647179231209	11	0.414877285241258	0.0793237540917624	0.25240306604384	-0.0797393455784072	12	-0.221997230686313	0.777205365285697	0.302801666802616	-0.00948783674761011	11	0.404654289766216	0.0851061417993486	0.197467777259652	-0.108309000067655	12	0.491085304098729	0.0372767914405736	0.353799561970933	-0.219683259836049	11	0.151105826163007	0.311087876411304	0.188910060616849	-0.108998033509848	12	-0.0618302922913171	0.583157474635074	0.101356635790568	-0.0676124527044129	11	-0.0305559321103914	0.53946726409257	0.169201010453207	0.0040243471985616	12	0.238034661347731	0.20625472058762
0	4	ENSG00000006747.10	0.115786942420283	-0.119325163065856	12	-0.182238001154984	0.733540328074758	0.180352044293581	-0.149717278740493	12	0.0386103692041685	0.447869874559865	0.18778032204758	-0.147095941310865	11	0.414246306106975	0.0796730777560857	0.252742795976592	-0.0811926550845561	12	-0.221793416572516	0.776991047770963	0.302535401425009	-0.00860015451362761	11	0.405223427361379	0.0847773262010296	0.197219183925597	-0.106913743417113	12	0.49135370795898	0.037185461704969	0.353569868336476	-0.218891417474014	11	0.151146861907305	0.311040039946401	0.188859909182248	-0.108703619108794	12	-0.0621247755239071	0.583548465559951	0.101369392735412	-0.0677468245002857	11	-0.0300929321313284	0.538870871127572	0.169102270326688	0.00460556572500059	12	0.236621648216598	0.207685993060353
